time_sec,value
187.633,1652
187.706,1478
187.799,1439
188.116,1120
188.215,1771
188.303,1874
188.401,1167
188.498,1645
188.596,1329
188.714,1601
188.806,2216
188.907,1888
189.569,2275
190.182,741
190.796,1117
191.410,1276
192.229,1281
192.845,3126
193.472,2076
193.628,1140
193.714,1535
193.998,2064
194.687,1904
195.039,1287
195.130,706
195.710,809
196.328,827
196.939,994
197.553,2652
198.169,2093
198.701,1101
198.800,2090
199.396,1627
200.010,629
200.357,1090
200.829,1227
201.182,432
201.268,395
201.586,375
201.678,434
201.804,605
201.913,1589
202.480,2246
202.573,2924
202.697,2613
202.785,2134
202.892,1505
202.966,1029
203.097,1295
203.193,1701
203.277,2085
203.377,1584
203.471,2325
203.901,1910
204.237,641
204.392,817
204.455,560
204.549,1023
204.633,674
204.721,674
204.808,785
204.995,1188
205.050,737
205.172,685
205.245,1105
205.316,1005
205.411,708
205.477,577
205.538,621
205.642,861
205.711,493
205.798,475
205.868,428
205.935,421
206.065,693
206.176,565
206.339,799
206.506,1317
206.692,2114
207.177,2097
207.791,2093
208.328,3024
208.416,3727
208.531,3717
208.600,1648
208.705,1585
208.761,1223
208.957,1113
209.048,1058
209.139,1206
209.222,893
209.319,941
209.377,685
209.472,646
209.553,1355
209.628,926
209.680,733
209.737,751
209.800,847
209.883,783
209.982,902
210.075,738
210.157,743
210.219,918
210.293,924
210.365,564
210.423,496
210.501,575
210.570,497
210.646,533
210.715,388
210.804,409
210.863,391
210.930,464
211.021,372
211.079,385
211.143,391
211.238,405
211.341,400
211.431,403
211.493,832
211.576,985
211.661,1660
211.764,2261
211.835,3248
211.900,2842
211.972,2559
212.061,2703
212.129,3153
212.248,2342
212.310,1845
212.423,2259
212.484,2768
212.556,3719
212.638,2624
212.763,3212
212.867,3729
212.988,3718
213.084,3733
213.144,3729
213.209,2559
213.338,2503
213.404,999
213.502,867
213.570,1186
213.679,881
213.769,883
213.855,816
214.071,496
214.181,838
214.250,1023
214.395,680
214.593,541
214.667,416
215.279,432
215.345,388
215.421,375
215.499,422
215.610,415
216.088,391
216.547,429
216.649,378
216.728,387
216.815,428
216.914,380
217.004,372
217.082,400
217.407,372
217.522,440
217.606,1344
217.735,1332
217.980,2281
218.360,2706
218.516,2013
218.620,1455
218.727,2387
218.818,3727
218.933,3375
219.004,2089
219.162,1332
219.226,637
219.299,742
219.376,876
219.430,739
219.501,752
219.586,591
219.661,699
219.781,725
219.846,806
219.936,889
220.014,678
220.094,846
220.232,496
220.356,428
220.408,409
220.479,398
220.557,379
220.617,400
220.679,429
220.758,413
220.861,391
220.944,381
221.056,385
221.162,384
221.237,407
221.340,400
221.921,387
222.170,400
222.944,432
223.771,345
223.956,384
224.054,369
224.117,348
224.225,375
224.301,354
224.385,384
224.460,595
224.534,1072
224.617,1143
224.685,1200
224.754,1174
224.841,1171
224.905,1168
224.999,1174
225.069,1173
225.164,1168
225.226,1152
225.289,749
225.348,545
225.408,529
225.524,454
225.594,489
225.652,481
225.721,524
225.780,480
225.834,481
225.906,491
225.979,459
226.027,468
226.110,479
226.173,576
226.259,587
226.348,624
226.418,578
226.489,534
226.552,498
226.610,531
226.664,476
226.759,480
226.822,480
226.881,480
226.949,478
227.006,503
227.074,486
227.142,480
227.225,448
227.290,464
227.356,465
227.445,461
227.504,470
227.571,471
227.630,469
227.708,500
227.764,446
227.817,464
227.878,460
227.941,483
228.049,469
228.122,474
228.215,441
228.408,481
228.480,459
228.563,464
228.719,484
228.814,482
229.206,485
229.419,449
229.522,433
229.832,433
229.910,400
230.828,448
231.661,359
231.955,528
232.571,492
233.186,547
233.795,799
234.426,972
235.025,912
235.222,702
236.049,533
236.225,459
236.382,555
236.485,448
236.569,572
236.652,509
237.041,375
237.690,511
238.207,1610
238.822,3470
238.982,1999
239.056,0
239.150,0
239.234,0
239.298,3726
239.383,1439
239.444,1055
239.500,2085
239.582,911
239.650,437
239.709,370
239.813,532
239.863,361
239.949,272
240.053,279
240.130,366
240.237,393
240.303,364
240.402,338
240.490,493
240.562,655
240.661,447
240.727,3724
241.174,3721
241.781,3728
242.601,432
243.424,365
244.034,384
244.262,473
